Energy (eV),Wavelength (nm),n,k,e1,e2
1.649449,751.766418,1.501753,0.000001,2.255263,0.000003
1.64599,753.34613,1.501725,0.000001,2.255178,0.000003
1.642546,754.925781,1.501697,0.000001,2.255093,0.000003
1.639116,756.50531,1.501668,0.000001,2.255008,0.000003
1.635701,758.084717,1.50164,0.000001,2.254924,0.000003
1.6323,759.664063,1.501612,0.000001,2.25484,0.000004
1.628914,761.243286,1.501585,0.000001,2.254756,0.000004
1.625542,762.822388,1.501557,0.000001,2.254673,0.000004
1.622184,764.401367,1.501529,0.000001,2.25459,0.000004
1.618841,765.980286,1.501502,0.000001,2.254508,0.000004
1.615511,767.559082,1.501474,0.000001,2.254426,0.000004
1.612195,769.137756,1.501447,0.000001,2.254344,0.000004
1.608893,770.71637,1.50142,0.000001,2.254263,0.000004
1.605604,772.2948,1.501393,0.000001,2.254182,0.000004
1.60233,773.873169,1.501366,0.000001,2.254101,0.000004
1.599069,775.451416,1.50134,0.000001,2.254021,0.000004
1.595821,777.029541,1.501313,0.000001,2.253941,0.000004
1.592587,778.607544,1.501287,0.000001,2.253862,0.000004
1.589366,780.185486,1.50126,0.000001,2.253783,0.000004
1.586158,781.763306,1.501234,0.000001,2.253704,0.000004
1.582963,783.341003,1.501208,0.000001,2.253625,0.000004
1.579782,784.918579,1.501182,0.000001,2.253547,0.000004
1.576613,786.496094,1.501156,0.000001,2.253469,0.000004
1.573457,788.073425,1.50113,0.000001,2.253392,0.000004
1.570315,789.650696,1.501105,0.000001,2.253315,0.000004
1.567184,791.227844,1.501079,0.000001,2.253238,0.000004
1.564067,792.80481,1.501053,0.000002,2.253161,0.000005
1.560962,794.381714,1.501028,0.000002,2.253085,0.000005
1.55787,795.958557,1.501003,0.000002,2.25301,0.000005
1.55479,797.535278,1.500978,0.000002,2.252934,0.000005
1.551723,799.111816,1.500953,0.000002,2.252859,0.000005
1.548668,800.688293,1.500928,0.000002,2.252784,0.000005
1.545625,802.264587,1.500903,0.000002,2.252709,0.000005
1.542594,803.84082,1.500878,0.000002,2.252635,0.000005
1.539575,805.416931,1.500853,0.000002,2.252561,0.000005
1.536569,806.99292,1.500829,0.000002,2.252487,0.000005
1.533574,808.568726,1.500804,0.000002,2.252414,0.000005
1.530591,810.144531,1.50078,0.000002,2.252341,0.000005
1.52762,811.720154,1.500756,0.000002,2.252268,0.000005
1.524661,813.295654,1.500732,0.000002,2.252195,0.000005
1.521713,814.871033,1.500707,0.000002,2.252123,0.000005
1.518777,816.44635,1.500683,0.000002,2.252051,0.000005
1.515853,818.021484,1.50066,0.000002,2.251979,0.000005
1.51294,819.596497,1.500636,0.000002,2.251908,0.000005
1.510038,821.171509,1.500612,0.000002,2.251837,0.000005
1.507148,822.746216,1.500588,0.000002,2.251765,0.000005
1.504269,824.320923,1.500565,0.000002,2.251695,0.000006
1.501401,825.895508,1.500541,0.000002,2.251625,0.000006
1.498544,827.46991,1.500518,0.000002,2.251554,0.000006
1.495698,829.04425,1.500495,0.000002,2.251485,0.000006
1.492864,830.618347,1.500472,0.000002,2.251415,0.000006
1.49004,832.192505,1.500448,0.000002,2.251346,0.000006
1.487227,833.766418,1.500425,0.000002,2.251276,0.000006
1.484425,835.340149,1.500403,0.000002,2.251208,0.000006
1.481634,836.913879,1.50038,0.000002,2.251139,0.000006
1.478853,838.487427,1.500357,0.000002,2.251071,0.000006
1.476084,840.060852,1.500334,0.000002,2.251003,0.000006
1.473324,841.634155,1.500312,0.000002,2.250935,0.000006
1.470575,843.207336,1.500289,0.000002,2.250867,0.000006
1.467837,844.780396,1.500267,0.000002,2.2508,0.000006
1.465109,846.353333,1.500244,0.000002,2.250733,0.000006
1.462391,847.926147,1.500222,0.000002,2.250666,0.000006
1.459684,849.49884,1.5002,0.000002,2.250599,0.000006
1.456987,851.071411,1.500178,0.000002,2.250533,0.000006
1.4543,852.643738,1.500156,0.000002,2.250467,0.000006
1.451623,854.216003,1.500134,0.000002,2.250401,0.000006
1.448957,855.788208,1.500112,0.000002,2.250335,0.000006
1.4463,857.360229,1.50009,0.000002,2.250269,0.000007
1.443653,858.932129,1.500068,0.000002,2.250204,0.000007
1.441016,860.503906,1.500046,0.000002,2.250139,0.000007
1.438389,862.0755,1.500025,0.000002,2.250074,0.000007
1.435772,863.646973,1.500003,0.000002,2.250009,0.000007
1.433164,865.218384,1.499982,0.000002,2.249945,0.000007
1.430566,866.789673,1.49996,0.000002,2.249881,0.000007
1.427978,868.360718,1.499939,0.000002,2.249817,0.000007
1.425399,869.931763,1.499918,0.000002,2.249753,0.000007
1.42283,871.502563,1.499896,0.000002,2.249689,0.000007
1.42027,873.073242,1.499875,0.000002,2.249626,0.000007
1.41772,874.64386,1.499854,0.000002,2.249563,0.000007
1.415179,876.214233,1.499833,0.000002,2.2495,0.000007
1.412647,877.784546,1.499812,0.000002,2.249437,0.000007
1.410125,879.354675,1.499791,0.000002,2.249374,0.000007
1.407612,880.924683,1.499771,0.000002,2.249312,0.000007
1.405108,882.494629,1.49975,0.000002,2.249249,0.000007
1.402613,884.064331,1.499729,0.000002,2.249187,0.000007
1.400127,885.633972,1.499708,0.000002,2.249125,0.000007
1.39765,887.20343,1.499688,0.000002,2.249064,0.000007
1.395182,888.772766,1.499667,0.000002,2.249002,0.000007
1.392723,890.34198,1.499647,0.000002,2.248941,0.000007
1.390273,891.911011,1.499627,0.000002,2.24888,0.000007
1.387832,893.47998,1.499606,0.000003,2.248819,0.000008
1.385399,895.048706,1.499586,0.000003,2.248758,0.000008
1.382976,896.617371,1.499566,0.000003,2.248698,0.000008
1.380561,898.185913,1.499546,0.000003,2.248637,0.000008
1.378154,899.754272,1.499526,0.000003,2.248577,0.000008
1.375756,901.322449,1.499506,0.000003,2.248517,0.000008
1.373367,902.890503,1.499486,0.000003,2.248457,0.000008
1.370986,904.458496,1.499466,0.000003,2.248397,0.000008
1.368614,906.026245,1.499446,0.000003,2.248338,0.000008
1.36625,907.593933,1.499426,0.000003,2.248278,0.000008
1.363894,909.161438,1.499406,0.000003,2.248219,0.000008
1.361547,910.728821,1.499387,0.000003,2.24816,0.000008
1.359208,912.296021,1.499367,0.000003,2.248101,0.000008
1.356877,913.863098,1.499347,0.000003,2.248043,0.000008
1.354555,915.429993,1.499328,0.000003,2.247984,0.000008
1.35224,916.996765,1.499308,0.000003,2.247926,0.000008
1.349934,918.563354,1.499289,0.000003,2.247867,0.000008
1.347636,920.129883,1.49927,0.000003,2.247809,0.000008
1.345345,921.696289,1.49925,0.000003,2.247751,0.000008
1.343063,923.26239,1.499231,0.000003,2.247694,0.000008
1.340789,924.828491,1.499212,0.000003,2.247636,0.000008
1.338523,926.394409,1.499193,0.000003,2.247578,0.000008
1.336264,927.960144,1.499173,0.000003,2.247521,0.000008
1.334014,929.525757,1.499154,0.000003,2.247464,0.000008
